Flight Number,From,To,Departure Date,Departure Time,Arrival Time,Base Price,Total Seats
VN111,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-09,12:00,14:30,1800000,216
VN101,SGN (TP Hồ Chí Minh),HAN (Hà Nội),2026-04-09,15:00,20:00,1800000,216
VU107,HAN (Hà Nội),DAD (Đà Nẵng),2026-04-09,10:00,15:00,1200000,216
VN301,DAD (Đà Nẵng),HAN (Hà Nội),2026-04-09,15:45,21:45,1200000,216
VN301,HAN (Hà Nội),VII (Vinh),2026-04-09,11:15,17:45,800000,216
VN201,VII (Vinh),HAN (Hà Nội),2026-04-09,19:00,20:30,800000,216
VJ302,HAN (Hà Nội),HUI (Huế),2026-04-09,12:15,15:30,1100000,216
QH106,HUI (Huế),HAN (Hà Nội),2026-04-09,17:00,20:00,1100000,216
VU107,HAN (Hà Nội),PQC (Phú Quốc),2026-04-09,09:00,14:15,2100000,216
VN111,PQC (Phú Quốc),HAN (Hà Nội),2026-04-09,14:30,20:30,2100000,216
VU107,HAN (Hà Nội),CXR (Nha Trang),2026-04-09,12:15,15:00,1500000,216
QH106,CXR (Nha Trang),HAN (Hà Nội),2026-04-09,14:15,23:15,1500000,216
VN102,SGN (TP Hồ Chí Minh),DAD (Đà Nẵng),2026-04-09,07:15,17:45,1250000,216
VJ202,DAD (Đà Nẵng),SGN (TP Hồ Chí Minh),2026-04-09,17:15,23:30,1250000,216
QH106,SGN (TP Hồ Chí Minh),CXR (Nha Trang),2026-04-09,05:30,16:00,900000,216
QH114,CXR (Nha Trang),SGN (TP Hồ Chí Minh),2026-04-09,17:45,20:30,900000,216
VN201,SGN (TP Hồ Chí Minh),PQC (Phú Quốc),2026-04-09,10:30,16:15,1000000,216
VJ202,PQC (Phú Quốc),SGN (TP Hồ Chí Minh),2026-04-09,18:15,20:00,1000000,216
VN401,DAD (Đà Nẵng),HUI (Huế),2026-04-09,12:00,17:45,600000,216
VU202,HUI (Huế),DAD (Đà Nẵng),2026-04-09,16:45,21:00,600000,216
VN102,DAD (Đà Nẵng),CXR (Nha Trang),2026-04-09,05:15,17:45,850000,216
VN201,CXR (Nha Trang),DAD (Đà Nẵng),2026-04-09,18:45,21:45,850000,216
VN201,HAN (Hà Nội),SGN (TP Hồ Chí Minh),2026-04-10,09:00,17:45,1800000,216
